Mã MH,Tên MH,Số tín chỉ,Nhóm lớp,DK/ Sĩ số,Ngôn ngữ,Nhóm LT,Giảng viên,Nhóm BT,Giảng viên BT/TN,Sĩ số LT,Thứ(Buổi 1),Tiết(Buổi 1),Phòng(Buổi 1),CS(Buổi 1),Thứ(Buổi 2),Tiết(Buổi 2),Phòng(Buổi 2),CS(Buổi 2),Thứ(Buổi 3),Tiết(Buổi 3),Phòng(Buổi 3),CS(Buổi 3)
AS3011 ,Thực tập cơ kỹ thuật 2,1.0,L01,27/30,V,L01, ,, ,30,Thứ 2 ,2 3 4,B4-201 ,1 ,,,,,,,,
AS3011 ,Thực tập cơ kỹ thuật 2,1.0,L02,17/30,V,L02, ,, ,30,Thứ 2 ,10 11 12,B4-201 ,1 ,,,,,,,,
AS3011 ,Thực tập cơ kỹ thuật 2,1.0,L03,13/30,V,L03, ,, ,30,Thứ 2 ,7 8 9,B4-201 ,1 ,,,,,,,,
AS3079 ,Đồ án thiết kế nâng cao,2.0,L01,2/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS3079 ,Đồ án thiết kế nâng cao,2.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS3089 ,Thực tập kỹ thuật (nt),1.0,CC01,15/80,V,CC01, ,, ,80,,,,1 ,,,,,,,,
AS3089 ,Thực tập kỹ thuật (nt),1.0,L01,60/200,V,L01, ,, ,200,,,,1 ,,,,,,,,
AS3089 ,Thực tập kỹ thuật (nt),1.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS3113 ,"Phân loại,kđ&ql ttb y tế",3.0,CC01,15/45,V,CC01,Huỳnh Quang Linh ,, ,45,Thứ 4 ,8 9,B10-206 ,1 ,,,,,,,,
AS3113 ,"Phân loại,kđ&ql ttb y tế",3.0,L01,74/90,V,L01, ,, ,90,Thứ 2 ,8 9,H6-506 ,2 ,,,,,,,,
AS3315 ,Thực tập ngoài trường,2.0,L01,4/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS3315 ,Thực tập ngoài trường,2.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS3325 ,Thực tập ngoài trường,2.0,L01,5/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS3325 ,Thực tập ngoài trường,2.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS3335 ,Thực tập ngoài trường,2.0,L01,48/200,V,L01, ,, ,200,,,,1 ,,,,,,,,
AS3335 ,Thực tập ngoài trường,2.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS3345 ,Thực tập ngoài trường,2.0,CC01,12/80,V,CC01, ,, ,80,,,,1 ,,,,,,,,
AS3345 ,Thực tập ngoài trường,2.0,L01,49/200,V,L01, ,, ,200,,,,1 ,,,,,,,,
AS3345 ,Thực tập ngoài trường,2.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4001 ,ĐAMH Cơ kỹ thuật,1.0,L01,4/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS4001 ,ĐAMH Cơ kỹ thuật,1.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4005 ,Đồ án chuyên ngành (vlkt,2.0,L01,13/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS4005 ,Đồ án chuyên ngành (vlkt,2.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4007 ,Đồ án chuyên ngành (ckt),2.0,L01,16/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS4007 ,Đồ án chuyên ngành (ckt),2.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4311 ,Đề cương luận văn tn,0.0,L01,1/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS4311 ,Đề cương luận văn tn,0.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4313 ,Luận văn tốt nghiệp (ckt,9.0,L01,2/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS4313 ,Luận văn tốt nghiệp (ckt,9.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4315 ,Đề cương luận văn tn,0.0,L01,4/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS4315 ,Đề cương luận văn tn,0.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4317 ,Luận văn tốt nghiệp (ckt,9.0,L01,6/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS4317 ,Luận văn tốt nghiệp (ckt,9.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4325 ,Đề cương luận văn tn,0.0,L01,3/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS4325 ,Đề cương luận văn tn,0.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4327 ,Luận văn tốt nghiệp,9.0,L01,2/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS4327 ,Luận văn tốt nghiệp,9.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4337 ,Đồ án tốt nghiệp (ckt),4.0,L01,13/80,V,L01, ,, ,80,,,,1 ,,,,,,,,
AS4337 ,Đồ án tốt nghiệp (ckt),4.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4343 ,Luận văn tốt nghiệp(ktys,9.0,L01,4/500,V,L01,,, ,500,,,,1 ,,,,,,,,
AS4343 ,Luận văn tốt nghiệp(ktys,9.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS4347 ,Đồ án tốt nghiệp,4.0,L01,31/80,V,L01, ,, ,80,,,,1 ,,,,,,,,
AS4347 ,Đồ án tốt nghiệp,4.0,L02,0/80,V,L02, ,, ,80,,,,1 ,,,,,,,,
AS4347 ,Đồ án tốt nghiệp,4.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AV300 ,Anh văn 300,0.0,DT01,11/50,V,DT01,,, ,50,Thứ 3 ,13 14 15,B10-206 ,1 ,,,,,,,,
AV350 ,Anh văn 350,0.0,DT01,8/50,V,DT01,,, ,50,Thứ 5 ,13 14 15,B10-206 ,1 ,,,,,,,,
AV400 ,Anh văn 400,0.0,DT01,44/50,V,DT01,,, ,50,Thứ 4 ,13 14 15,B10-206 ,1 ,,,,,,,,
AV450 ,ANH VAN 450,0.0,DT01,11/50,V,DT01,,, ,50,Thứ 2 ,13 14 15,B10-206 ,1 ,,,,,,,,
AV500 ,ANH VAN 500,0.0,DT01,5/50,V,DT01,,, ,50,Thứ 6 ,13 14 15,B10-206 ,1 ,,,,,,,,
CH1001 ,Nhập môn về kỹ thuật,3.0,CC01,27/40,V,CC01, ,, ,40,Thứ 2 ,5 6,B8-302 ,1 ,,,,,,,,
CH1005 ,Hóa lý hóa keo,3.0,CC01,18/40,V,CC01, ,, ,40,Thứ 4 ,7 8,A4-312 ,1 ,,,,,,,,
CH1005 ,Hóa lý hóa keo,3.0,CC02,32/40,V,CC02, ,, ,40,Thứ 4 ,5 6,A4-204 ,1 ,,,,,,,,
CH1005 ,Hóa lý hóa keo,3.0,L01,63/80,V,L01, ,, ,80,Thứ 3 ,8 9,H1-302 ,2 ,,,,,,,,
CH2003 ,Hóa lý 1,3.0,L01,22/60,V,L01,,, ,60,Thứ 5 ,7 8,H2-402 ,2 ,,,,,,,,
CH2017 ,Kỹ thuật thực phẩm 1,3.0,CC01,18/45,V,CC01, ,, ,45,Thứ 4 ,2 3,A4-206 ,1 ,,,,,,,,
CH2017 ,Kỹ thuật thực phẩm 1,3.0,CC02,26/45,V,CC02, ,, ,45,Thứ 4 ,11 12,B1-310 ,1 ,,,,,,,,
CH2017 ,Kỹ thuật thực phẩm 1,3.0,L01,51/80,V,L01, ,, ,80,Thứ 2 ,10 11,H1-303 ,2 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,A01,49/80,V,A01, ,, ,80,Thứ 2 ,4 5,B1-212 ,1 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,CC01,40/45,V,CC01, ,, ,45,Thứ 2 ,11 12,A4-205 ,1 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,CC02,45/45,V,CC02, ,, ,45,Thứ 4 ,11 12,B6-301 ,1 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,CC03,45/45,V,CC03, ,, ,45,Thứ 4 ,9 10,A4-206 ,1 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,CC04,41/45,V,CC04, ,, ,45,Thứ 6 ,8 9,A4-507 ,1 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,CC05,4/45,V,CC05, ,, ,45,Thứ 6 ,11 12,C6-602 ,1 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,CC06,15/45,V,CC06, ,, ,45,Thứ 3 ,11 12,A4-205 ,1 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,L01,64/80,V,L01, ,, ,80,Thứ 3 ,2 3,H6-110 ,2 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,L02,44/80,V,L02, ,, ,80,Thứ 6 ,2 3,H6-213 ,2 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,L03,53/80,V,L03, ,, ,80,Thứ 6 ,4 5,H6-214 ,2 ,,,,,,,,
CH2019 ,Quátrình &thiết bị cơhọc,3.0,L04,58/80,V,L04, ,, ,80,Thứ 5 ,2 3,H6-110 ,2 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,A01,55/120,V,A01, ,, ,120,Thứ 4 ,9 10 11,C6-604 ,1 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,CC01,14/45,V,CC01, ,, ,45,Thứ 4 ,2 3 4,C4-501 ,1 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,CC02,39/45,V,CC02, ,, ,45,Thứ 5 ,2 3 4,B4-301 ,1 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,CC03,36/45,V,CC03, ,, ,45,Thứ 5 ,10 11 12,B1-206 ,1 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,CC04,38/45,V,CC04, ,, ,45,Thứ 2 ,8 9 10,C6-603 ,1 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,CC05,25/45,V,CC05, ,, ,45,Thứ 2 ,4 5 6,C6-604 ,1 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,CC06,38/45,V,CC06,Nguyễn Đăng Khoa ,, ,45,Thứ 4 ,8 9 10,B6-301 ,1 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,L01,103/120,V,L01, ,, ,120,Thứ 3 ,2 3 4,H6-109 ,2 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,L02,119/120,V,L02, ,, ,120,Thứ 3 ,9 10 11,H3-205 ,2 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,L03,91/120,V,L03, ,, ,120,Thứ 2 ,2 3 4,H1-401 ,2 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,L04,6/120,V,L04,,, ,120,Thứ 6 ,7 8 9,H6-305 ,2 ,,,,,,,,
CH2021 ,Hóa hữu cơ,3.0,L05,4/120,V,L05,,, ,120,Thứ 6 ,3 4 5,H1-405 ,2 ,,,,,,,,
CH2039 ,Kỹ thuật thực phẩm 3,3.0,CC01,21/45,V,CC01, ,, ,45,Thứ 6 ,9 10,B1-211 ,1 ,,,,,,,,
CH2039 ,Kỹ thuật thực phẩm 3,3.0,CC02,27/45,V,CC02, ,, ,45,Thứ 6 ,7 8,A4-312 ,1 ,,,,,,,,
CH2039 ,Kỹ thuật thực phẩm 3,3.0,L01,42/80,V,L01, ,, ,80,Thứ 4 ,2 3,H1-308 ,2 ,,,,,,,,
CH2041 ,Thí nghiệm hóa lý,2.0,L01,40/40,V,L01,,, ,40,Thứ 6 ,7 8 9 10 11,B2-214 ,1 ,,,,,,,,
CH2049 ,TN hóa học & hóa sinh tp,2.0,CC01,19/20,V,CC01, ,, ,20,Thứ 5 ,2 3 4 5 6,B2-305 ,1 ,,,,,,,,
CH2049 ,TN hóa học & hóa sinh tp,2.0,CC02,9/20,V,CC02, ,, ,20,Thứ 5 ,8 9 10 11 12,B2-305 ,1 ,,,,,,,,
CH2049 ,TN hóa học & hóa sinh tp,2.0,CC03,13/20,V,CC03, ,, ,20,Thứ 2 ,8 9 10 11 12,B2-305 ,1 ,,,,,,,,
CH2049 ,TN hóa học & hóa sinh tp,2.0,L01,4/20,V,L01, ,, ,20,Thứ 2 ,2 3 4 5 6,B2-305 ,1 ,,,,,,,,
CH2049 ,TN hóa học & hóa sinh tp,2.0,L02,20/20,V,L02, ,, ,20,Thứ 4 ,8 9 10 11 12,B2-305 ,1 ,,,,,,,,
CH2049 ,TN hóa học & hóa sinh tp,2.0,L03,20/20,V,L03, ,, ,20,Thứ 4 ,2 3 4 5 6,B2-305 ,1 ,,,,,,,,
CH2053 ,Thí nghiệm hóa hữu cơ,2.0,CC01,18/20,V,CC01,,, ,20,Thứ 6 ,8 9 10 11 12,B2-404 ,1 ,,,,,,,,
CH2053 ,Thí nghiệm hóa hữu cơ,2.0,CC02,4/20,V,CC02,,, ,20,Thứ 6 ,2 3 4 5 6,B2-404 ,1 ,,,,,,,,
CH2053 ,Thí nghiệm hóa hữu cơ,2.0,L01,7/22,V,L01,,, ,22,Thứ 5 ,2 3 4 5 6,B2-404 ,1 ,,,,,,,,
CH2053 ,Thí nghiệm hóa hữu cơ,2.0,L02,15/22,V,L02,,, ,22,Thứ 5 ,8 9 10 11 12,B2-404 ,1 ,,,,,,,,
CH2089 ,Quá trình &thiết bị CN 1,3.0,CC01,18/45,V,CC01, ,, ,45,Thứ 4 ,2 3,B10-202 ,1 ,,,,,,,,
CH2089 ,Quá trình &thiết bị CN 1,3.0,L01,60/60,V,L01,,, ,60,Thứ 4 ,7 8,H3-504 ,2 ,,,,,,,,
CH2109 ,Hóa lý 2,3.0,A01,48/80,V,A01, ,, ,80,Thứ 4 ,4 5,B1-301 ,1 ,,,,,,,,
CH2109 ,Hóa lý 2,3.0,CC01,45/45,V,CC01, ,, ,45,Thứ 4 ,2 3,A4-204 ,1 ,,,,,,,,
CH2109 ,Hóa lý 2,3.0,CC02,3/45,V,CC02, ,, ,45,Thứ 6 ,2 3,B10-204 ,1 ,,,,,,,,
CH2109 ,Hóa lý 2,3.0,CC03,44/45,V,CC03, ,, ,45,Thứ 6 ,4 5,C4-303 ,1 ,,,,,,,,
CH2109 ,Hóa lý 2,3.0,CC04,18/45,V,CC04, ,, ,45,Thứ 4 ,11 12,A4-204 ,1 ,,,,,,,,
CH2109 ,Hóa lý 2,3.0,CC05,45/45,V,CC05, ,, ,45,Thứ 4 ,7 8,A4-509 ,1 ,,,,,,,,
CH2109 ,Hóa lý 2,3.0,CC06,45/45,V,CC06, ,, ,45,Thứ 4 ,5 6,B1-201 ,1 ,,,,,,,,
CH2109 ,Hóa lý 2,3.0,L01,45/80,V,L01, ,, ,80,Thứ 4 ,10 11,H6-510 ,2 ,,,,,,,,
CH2109 ,Hóa lý 2,3.0,L02,65/80,V,L02, ,, ,80,Thứ 2 ,8 9,H3-102 ,2 ,,,,,,,,
CH2109 ,Hóa lý 2,3.0,L03,77/80,V,L03, ,, ,80,Thứ 2 ,5 6,H3-405 ,2 ,,,,,,,,
CH2111 ,Thí nghiệm hóa hữu cơ cb,1.0,L01,16/20,V,L01,,, ,20,Thứ 3 ,8 9 10 11 12,B2-404 ,1 ,,,,,,,,
CH2111 ,Thí nghiệm hóa hữu cơ cb,1.0,L02,3/20,V,L02,,, ,20,Thứ 3 ,2 3 4 5 6,B2-404 ,1 ,,,,,,,,
CH2113 ,Hóa phân tích,3.0,L01,34/60,V,L01,,, ,60,Thứ 4 ,7 8,H2-305 ,2 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,A01,30/35,V,A01, ,, ,35,Thứ 5 ,2 3 4 5 6,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,A02,2/35,V,A02, ,, ,35,Thứ 5 ,8 9 10 11 12,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,CC01,30/30,V,CC01, ,, ,30,Thứ 2 ,8 9 10 11 12,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,CC02,30/30,V,CC02, ,, ,30,Thứ 2 ,2 3 4 5 6,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,CC03,3/30,V,CC03, ,, ,30,Chủ nhật ,8 9 10 11 12,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,CC04,20/30,V,CC04, ,, ,30,Chủ nhật ,2 3 4 5 6,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,CC05,30/30,V,CC05, ,, ,30,Thứ 3 ,2 3 4 5 6,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,CC06,30/30,V,CC06, ,, ,30,Thứ 3 ,8 9 10 11 12,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,CC07,30/30,V,CC07, ,, ,30,Thứ 7 ,8 9 10 11 12,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,L01,26/35,V,L01, ,, ,35,Thứ 7 ,2 3 4 5 6,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,L02,35/35,V,L02, ,, ,35,Thứ 6 ,8 9 10 11 12,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,L03,18/35,V,L03, ,, ,35,Thứ 6 ,2 3 4 5 6,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,L04,35/35,V,L04, ,, ,35,Thứ 4 ,2 3 4 5 6,B2-206 ,1 ,,,,,,,,
CH2115 ,Thí nghiệm hóa phân tích,1.0,L05,34/35,V,L05, ,, ,35,Thứ 4 ,8 9 10 11 12,B2-206 ,1 ,,,,,,,,
CH3001 ,Thí nghiệm visinh t/phẩm,2.0,CC01,20/25,V,CC01, ,, ,25,Thứ 4 ,7 8 9 10 11,B2-308 ,1 ,,,,,,,,
CH3001 ,Thí nghiệm visinh t/phẩm,2.0,CC02,24/25,V,CC02, ,, ,25,Thứ 4 ,2 3 4 5 6,B2-308 ,1 ,,,,,,,,
CH3001 ,Thí nghiệm visinh t/phẩm,2.0,L01,21/25,V,L01, ,, ,25,Thứ 2 ,2 3 4 5 6,B2-308 ,1 ,,,,,,,,
CH3001 ,Thí nghiệm visinh t/phẩm,2.0,L02,23/25,V,L02, ,, ,25,Thứ 2 ,8 9 10 11 12,B2-308 ,1 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,A01,25/25,V,A01, ,, ,25,Thứ 6 ,2 3 4 5 6,H3-002B ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,A02,25/25,V,A02, ,, ,25,Thứ 6 ,8 9 10 11 12,H3-002A ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,A03,6/25,V,A03, ,, ,25,Thứ 2 ,7 8 9 10 11,H3-002B ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,CC01,20/25,V,CC01, ,, ,25,Thứ 3 ,8 9 10 11 12,B2-105A ,1 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,CC02,1/25,V,CC02, ,, ,25,Thứ 2 ,2 3 4 5 6,B2-105A ,1 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,CC03,21/25,V,CC03, ,, ,25,Thứ 2 ,8 9 10 11 12,B2-105A ,1 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,CC04,7/25,V,CC04, ,, ,25,Thứ 5 ,2 3 4 5 6,B2-105A ,1 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,CC05,25/25,V,CC05, ,, ,25,Thứ 5 ,8 9 10 11 12,B2-105A ,1 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,CC06,25/25,V,CC06, ,, ,25,Thứ 4 ,2 3 4 5 6,B2-105A ,1 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,CC07,24/25,V,CC07, ,, ,25,Thứ 4 ,7 8 9 10 11,B2-105A ,1 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,L01,17/25,V,L01, ,, ,25,Chủ nhật ,2 3 4 5 6,H3-002B ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,L02,25/25,V,L02, ,, ,25,Chủ nhật ,7 8 9 10 11,H3-002B ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,L03,25/25,V,L03, ,, ,25,Thứ 6 ,8 9 10 11 12,H3-002B ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,L04,25/25,V,L04, ,, ,25,Thứ 6 ,2 3 4 5 6,H3-002A ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,L05,1/25,V,L05, ,, ,25,Chủ nhật ,2 3 4 5 6,H3-002A ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,L06,25/25,V,L06, ,, ,25,Chủ nhật ,8 9 10 11 12,H3-002A ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,L07,25/25,V,L07, ,, ,25,Thứ 7 ,8 9 10 11 12,H3-002B ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,L08,25/25,V,L08, ,, ,25,Thứ 7 ,2 3 4 5 6,H3-002A ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,L09,24/25,V,L09, ,, ,25,Thứ 7 ,2 3 4 5 6,H3-002B ,2 ,,,,,,,,
CH3015 ,T/n quá trình thiết bị,2.0,L10,24/25,V,L10, ,, ,25,Thứ 7 ,7 8 9 10 11,H3-002A ,2 ,,,,,,,,
CH3017 ,Côngnghệ chếbiến th/phẩm,3.0,CC01,37/45,V,CC01, ,, ,45,Thứ 5 ,7 8,A4-205 ,1 ,,,,,,,,
CH3017 ,Côngnghệ chếbiến th/phẩm,3.0,CC02,20/45,V,CC02, ,, ,45,Thứ 5 ,9 10,C4-402 ,1 ,,,,,,,,
CH3017 ,Côngnghệ chếbiến th/phẩm,3.0,L01,45/60,V,L01, ,, ,60,Thứ 3 ,9 10,H1-305 ,2 ,,,,,,,,
CH3033 ,Kỹ thuật môi trường,2.0,CC01,40/40,V,CC01,,, ,40,Thứ 5 ,9 10,B1-201 ,1 ,,,,,,,,
CH3053 ,Thiết kế nhàmáy thựcphẩm,3.0,CC01,3/45,V,CC01, ,, ,45,Thứ 2 ,8 9,A4-507 ,1 ,,,,,,,,
